Date,Attendance,Team,City,League,Both Leagues
10/9/2022,"23,672",New York Red Bulls,New York City,MLS,Yes
3/4/2023,"18,474",New York Red Bulls,New York City,MLS,Yes
3/18/2023,"15,412",New York Red Bulls,New York City,MLS,Yes
4/8/2023,"15,939",New York Red Bulls,New York City,MLS,Yes
4/15/2023,"12,932",New York Red Bulls,New York City,MLS,Yes
5/6/2023,"18,712",New York Red Bulls,New York City,MLS,Yes
5/13/2023,"23,121",New York Red Bulls,New York City,MLS,Yes
5/20/2023,"13,436",New York Red Bulls,New York City,MLS,Yes
6/3/2023,"19,871",New York Red Bulls,New York City,MLS,Yes
6/21/2023,"12,178",New York Red Bulls,New York City,MLS,Yes
6/24/2023,"16,277",New York Red Bulls,New York City,MLS,Yes
7/8/2023,"20,014",New York Red Bulls,New York City,MLS,Yes
7/12/2023,"13,439",New York Red Bulls,New York City,MLS,Yes
8/20/2023,"17,872",New York Red Bulls,New York City,MLS,Yes
8/26/2023,"26,276",New York Red Bulls,New York City,MLS,Yes
9/20/2023,"13,562",New York Red Bulls,New York City,MLS,Yes
9/30/2023,"20,347",New York Red Bulls,New York City,MLS,Yes
10/7/2023,"24,506",New York Red Bulls,New York City,MLS,Yes
3/9/2024,"19,284",New York Red Bulls,New York City,MLS,Yes
3/23/2024,"25,000",New York Red Bulls,New York City,MLS,Yes
4/13/2024,"17,501",New York Red Bulls,New York City,MLS,Yes
4/27/2024,"17,525",New York Red Bulls,New York City,MLS,Yes
5/11/2024,"17,525",New York Red Bulls,New York City,MLS,Yes
5/29/2024,"16,516",New York Red Bulls,New York City,MLS,Yes
6/1/2024,"18,039",New York Red Bulls,New York City,MLS,Yes
6/15/2024,"18,039",New York Red Bulls,New York City,MLS,Yes
6/22/2024,"18,039",New York Red Bulls,New York City,MLS,Yes
6/29/2024,"18,315",New York Red Bulls,New York City,MLS,Yes
4/22/2017,"6,298",North Carolina Courage,Cary,NWSL,
4/29/2017,"4,586",North Carolina Courage,Cary,NWSL,
5/21/2017,"4,786",North Carolina Courage,Cary,NWSL,
5/24/2017,"2,383",North Carolina Courage,Cary,NWSL,
6/3/2017,"3,717",North Carolina Courage,Cary,NWSL,
6/17/2017,"3,780",North Carolina Courage,Cary,NWSL,
7/1/2017,"3,056",North Carolina Courage,Cary,NWSL,
7/8/2017,"3,565",North Carolina Courage,Cary,NWSL,
8/5/2017,"5,249",North Carolina Courage,Cary,NWSL,
8/19/2017,"3,530",North Carolina Courage,Cary,NWSL,
9/9/2017,"4,702",North Carolina Courage,Cary,NWSL,
9/30/2017,"7,020",North Carolina Courage,Cary,NWSL,
3/24/2018,"4,210",North Carolina Courage,Cary,NWSL,
3/31/2018,"4,078",North Carolina Courage,Cary,NWSL,
4/18/2018,"3,011",North Carolina Courage,Cary,NWSL,
4/21/2018,"3,958",North Carolina Courage,Cary,NWSL,
5/6/2018,"4,068",North Carolina Courage,Cary,NWSL,
5/12/2018,"5,866",North Carolina Courage,Cary,NWSL,
6/16/2018,"5,164",North Carolina Courage,Cary,NWSL,
7/4/2018,"5,295",North Carolina Courage,Cary,NWSL,
7/11/2018,"3,409",North Carolina Courage,Cary,NWSL,
8/5/2018,"5,379",North Carolina Courage,Cary,NWSL,
8/18/2018,"7,606",North Carolina Courage,Cary,NWSL,
9/8/2018,"9,505",North Carolina Courage,Cary,NWSL,
4/13/2019,"4,053",North Carolina Courage,Cary,NWSL,
4/17/2019,"4,292",North Carolina Courage,Cary,NWSL,
5/4/2019,"5,039",North Carolina Courage,Cary,NWSL,
5/19/2019,"4,821",North Carolina Courage,Cary,NWSL,
6/15/2019,"6,172",North Carolina Courage,Cary,NWSL,
7/5/2019,"5,066",North Carolina Courage,Cary,NWSL,
7/13/2019,"6,216",North Carolina Courage,Cary,NWSL,
8/3/2019,"4,393",North Carolina Courage,Cary,NWSL,
8/24/2019,"6,743",North Carolina Courage,Cary,NWSL,
9/14/2019,"9,563",North Carolina Courage,Cary,NWSL,
9/17/2019,"4,943",North Carolina Courage,Cary,NWSL,
10/12/2019,"9,195",North Carolina Courage,Cary,NWSL,
5/18/2022,"3,084",North Carolina Courage,Cary,NWSL,
5/22/2022,"6,070",North Carolina Courage,Cary,NWSL,
6/19/2022,"4,117",North Carolina Courage,Cary,NWSL,
7/29/2022,"5,211",North Carolina Courage,Cary,NWSL,
8/13/2022,"5,092",North Carolina Courage,Cary,NWSL,
8/20/2022,"3,571",North Carolina Courage,Cary,NWSL,
8/24/2022,"3,114",North Carolina Courage,Cary,NWSL,
9/10/2022,"3,297",North Carolina Courage,Cary,NWSL,
9/14/2022,"3,661",North Carolina Courage,Cary,NWSL,
9/17/2022,"6,398",North Carolina Courage,Cary,NWSL,
9/24/2022,"6,376",North Carolina Courage,Cary,NWSL,
3/25/2023,"4,948",North Carolina Courage,Cary,NWSL,
4/15/2023,"5,160",North Carolina Courage,Cary,NWSL,
5/6/2023,"7,070",North Carolina Courage,Cary,NWSL,
5/14/2023,"4,059",North Carolina Courage,Cary,NWSL,
5/20/2023,"4,723",North Carolina Courage,Cary,NWSL,
6/17/2023,"4,014",North Carolina Courage,Cary,NWSL,
6/24/2023,"4,041",North Carolina Courage,Cary,NWSL,
7/1/2023,"4,387",North Carolina Courage,Cary,NWSL,
8/27/2023,"4,000",North Carolina Courage,Cary,NWSL,
9/2/2023,"6,389",North Carolina Courage,Cary,NWSL,
10/7/2023,"10,434",North Carolina Courage,Cary,NWSL,
3/16/2024,"5,878",North Carolina Courage,Cary,NWSL,
3/30/2024,"5,281",North Carolina Courage,Cary,NWSL,
4/13/2024,"5,711",North Carolina Courage,Cary,NWSL,
4/27/2024,"8,135",North Carolina Courage,Cary,NWSL,
5/17/2024,"4,528",North Carolina Courage,Cary,NWSL,
6/15/2024,"4,776",North Carolina Courage,Cary,NWSL,
6/23/2024,"5,256",North Carolina Courage,Cary,NWSL,
3/8/2015,62510,Orlando City SC,Orlando,MLS,Yes
3/21/2015,31072,Orlando City SC,Orlando,MLS,Yes
4/3/2015,32822,Orlando City SC,Orlando,MLS,Yes
4/26/2015,30908,Orlando City SC,Orlando,MLS,Yes
5/8/2015,27243,Orlando City SC,Orlando,MLS,Yes
5/17/2015,40122,Orlando City SC,Orlando,MLS,Yes
5/30/2015,31430,Orlando City SC,Orlando,MLS,Yes
6/14/2015,30054,Orlando City SC,Orlando,MLS,Yes
6/24/2015,23372,Orlando City SC,Orlando,MLS,Yes
7/11/2015,30513,Orlando City SC,Orlando,MLS,Yes
7/18/2015,33518,Orlando City SC,Orlando,MLS,Yes
8/1/2015,26586,Orlando City SC,Orlando,MLS,Yes
8/8/2015,28495,Orlando City SC,Orlando,MLS,Yes
8/29/2015,28921,Orlando City SC,Orlando,MLS,Yes
9/13/2015,22241,Orlando City SC,Orlando,MLS,Yes
10/3/2015,35421,Orlando City SC,Orlando,MLS,Yes
10/16/2015,43179,Orlando City SC,Orlando,MLS,Yes
3/6/2016,60147,Orlando City SC,Orlando,MLS,Yes
3/11/2016,29041,Orlando City SC,Orlando,MLS,Yes
4/3/2016,31114,Orlando City SC,Orlando,MLS,Yes
4/17/2016,36048,Orlando City SC,Orlando,MLS,Yes
5/6/2016,31264,Orlando City SC,Orlando,MLS,Yes
5/21/2016,34081,Orlando City SC,Orlando,MLS,Yes
5/25/2016,24109,Orlando City SC,Orlando,MLS,Yes
6/18/2016,37194,Orlando City SC,Orlando,MLS,Yes
6/25/2016,27818,Orlando City SC,Orlando,MLS,Yes
7/8/2016,28104,Orlando City SC,Orlando,MLS,Yes
7/31/2016,27768,Orlando City SC,Orlando,MLS,Yes
8/7/2016,28247,Orlando City SC,Orlando,MLS,Yes
8/24/2016,23802,Orlando City SC,Orlando,MLS,Yes
8/28/2016,27482,Orlando City SC,Orlando,MLS,Yes
9/17/2016,30218,Orlando City SC,Orlando,MLS,Yes
10/2/2016,26041,Orlando City SC,Orlando,MLS,Yes
10/23/2016,30022,Orlando City SC,Orlando,MLS,Yes
3/5/2017,25527,Orlando City SC,Orlando,MLS,Yes
3/18/2017,25527,Orlando City SC,Orlando,MLS,Yes
4/9/2017,25527,Orlando City SC,Orlando,MLS,Yes
4/15/2017,25527,Orlando City SC,Orlando,MLS,Yes
4/29/2017,25527,Orlando City SC,Orlando,MLS,Yes
5/13/2017,25527,Orlando City SC,Orlando,MLS,Yes
5/21/2017,25527,Orlando City SC,Orlando,MLS,Yes
5/31/2017,24112,Orlando City SC,Orlando,MLS,Yes
6/4/2017,24469,Orlando City SC,Orlando,MLS,Yes
6/17/2017,25527,Orlando City SC,Orlando,MLS,Yes
7/5/2017,25029,Orlando City SC,Orlando,MLS,Yes
7/21/2017,25527,Orlando City SC,Orlando,MLS,Yes
8/19/2017,25527,Orlando City SC,Orlando,MLS,Yes
8/26/2017,24406,Orlando City SC,Orlando,MLS,Yes
9/27/2017,23018,Orlando City SC,Orlando,MLS,Yes
9/30/2017,24007,Orlando City SC,Orlando,MLS,Yes
10/15/2017,25166,Orlando City SC,Orlando,MLS,Yes
3/3/2018,25527,Orlando City SC,Orlando,MLS,Yes
3/10/2018,24038,Orlando City SC,Orlando,MLS,Yes
3/31/2018,23257,Orlando City SC,Orlando,MLS,Yes
4/8/2018,22337,Orlando City SC,Orlando,MLS,Yes
4/21/2018,25527,Orlando City SC,Orlando,MLS,Yes
5/6/2018,23258,Orlando City SC,Orlando,MLS,Yes
5/13/2018,24232,Orlando City SC,Orlando,MLS,Yes
5/26/2018,25288,Orlando City SC,Orlando,MLS,Yes
6/23/2018,23498,Orlando City SC,Orlando,MLS,Yes
7/14/2018,23420,Orlando City SC,Orlando,MLS,Yes
7/26/2018,23790,Orlando City SC,Orlando,MLS,Yes
8/4/2018,23879,Orlando City SC,Orlando,MLS,Yes
8/24/2018,25058,Orlando City SC,Orlando,MLS,Yes
9/1/2018,22912,Orlando City SC,Orlando,MLS,Yes
9/22/2018,23723,Orlando City SC,Orlando,MLS,Yes
10/17/2018,22344,Orlando City SC,Orlando,MLS,Yes
10/21/2018,23642,Orlando City SC,Orlando,MLS,Yes
3/2/2019,25527,Orlando City SC,Orlando,MLS,Yes
3/16/2019,22352,Orlando City SC,Orlando,MLS,Yes
3/31/2019,22481,Orlando City SC,Orlando,MLS,Yes
4/6/2019,22450,Orlando City SC,Orlando,MLS,Yes
4/20/2019,22468,Orlando City SC,Orlando,MLS,Yes
5/4/2019,22377,Orlando City SC,Orlando,MLS,Yes
5/19/2019,22341,Orlando City SC,Orlando,MLS,Yes
5/24/2019,24712,Orlando City SC,Orlando,MLS,Yes
7/3/2019,22364,Orlando City SC,Orlando,MLS,Yes
7/13/2019,22397,Orlando City SC,Orlando,MLS,Yes
7/21/2019,22408,Orlando City SC,Orlando,MLS,Yes
8/3/2019,22479,Orlando City SC,Orlando,MLS,Yes
8/14/2019,22347,Orlando City SC,Orlando,MLS,Yes
8/23/2019,23014,Orlando City SC,Orlando,MLS,Yes
9/7/2019,22371,Orlando City SC,Orlando,MLS,Yes
9/14/2019,22419,Orlando City SC,Orlando,MLS,Yes
10/6/2019,22433,Orlando City SC,Orlando,MLS,Yes
2/27/2022,21283,Orlando City SC,Orlando,MLS,Yes
3/12/2022,16512,Orlando City SC,Orlando,MLS,Yes
4/2/2022,16753,Orlando City SC,Orlando,MLS,Yes
4/9/2022,16051,Orlando City SC,Orlando,MLS,Yes
4/24/2022,17503,Orlando City SC,Orlando,MLS,Yes
4/30/2022,17012,Orlando City SC,Orlando,MLS,Yes
5/28/2022,17380,Orlando City SC,Orlando,MLS,Yes
6/18/2022,16333,Orlando City SC,Orlando,MLS,Yes
7/4/2022,16631,Orlando City SC,Orlando,MLS,Yes
7/9/2022,20052,Orlando City SC,Orlando,MLS,Yes
7/23/2022,16031,Orlando City SC,Orlando,MLS,Yes
8/6/2022,16906,Orlando City SC,Orlando,MLS,Yes
8/28/2022,16289,Orlando City SC,Orlando,MLS,Yes
8/31/2022,14483,Orlando City SC,Orlando,MLS,Yes
9/14/2022,15340,Orlando City SC,Orlando,MLS,Yes
9/17/2022,17189,Orlando City SC,Orlando,MLS,Yes
10/9/2022,21693,Orlando City SC,Orlando,MLS,Yes
2/25/2023,24088,Orlando City SC,Orlando,MLS,Yes
3/4/2023,18062,Orlando City SC,Orlando,MLS,Yes
3/18/2023,18123,Orlando City SC,Orlando,MLS,Yes
4/1/2023,20115,Orlando City SC,Orlando,MLS,Yes
4/22/2023,19514,Orlando City SC,Orlando,MLS,Yes
4/29/2023,22519,Orlando City SC,Orlando,MLS,Yes
5/17/2023,17012,Orlando City SC,Orlando,MLS,Yes
5/27/2023,20127,Orlando City SC,Orlando,MLS,Yes
6/10/2023,18711,Orlando City SC,Orlando,MLS,Yes
6/21/2023,17516,Orlando City SC,Orlando,MLS,Yes
7/1/2023,22070,Orlando City SC,Orlando,MLS,Yes
7/4/2023,17604,Orlando City SC,Orlando,MLS,Yes
8/26/2023,22156,Orlando City SC,Orlando,MLS,Yes
9/16/2023,22802,Orlando City SC,Orlando,MLS,Yes
9/24/2023,25527,Orlando City SC,Orlando,MLS,Yes
9/30/2023,19637,Orlando City SC,Orlando,MLS,Yes
10/7/2023,24440,Orlando City SC,Orlando,MLS,Yes
2/24/2024,24249,Orlando City SC,Orlando,MLS,Yes
3/9/2024,23025,Orlando City SC,Orlando,MLS,Yes
3/23/2024,20985,Orlando City SC,Orlando,MLS,Yes
3/30/2024,23859,Orlando City SC,Orlando,MLS,Yes
4/27/2024,21689,Orlando City SC,Orlando,MLS,Yes
5/4/2024,21218,Orlando City SC,Orlando,MLS,Yes
5/15/2024,25046,Orlando City SC,Orlando,MLS,Yes
5/25/2024,21726,Orlando City SC,Orlando,MLS,Yes
6/15/2024,22563,Orlando City SC,Orlando,MLS,Yes
6/22/2024,22038,Orlando City SC,Orlando,MLS,Yes
4/23/2016,23403,Orlando Pride,Orlando,NWSL,Yes
5/8/2016,8211,Orlando Pride,Orlando,NWSL,Yes
5/14/2016,7841,Orlando Pride,Orlando,NWSL,Yes
6/23/2016,6870,Orlando Pride,Orlando,NWSL,Yes
6/26/2016,7143,Orlando Pride,Orlando,NWSL,Yes
7/10/2016,5842,Orlando Pride,Orlando,NWSL,Yes
7/16/2016,7247,Orlando Pride,Orlando,NWSL,Yes
8/26/2016,7052,Orlando Pride,Orlando,NWSL,Yes
9/10/2016,6788,Orlando Pride,Orlando,NWSL,Yes
9/24/2016,7454,Orlando Pride,Orlando,NWSL,Yes
4/22/2017,14452,Orlando Pride,Orlando,NWSL,Yes
5/14/2017,5260,Orlando Pride,Orlando,NWSL,Yes
6/3/2017,5185,Orlando Pride,Orlando,NWSL,Yes
6/24/2017,5497,Orlando Pride,Orlando,NWSL,Yes
7/1/2017,5476,Orlando Pride,Orlando,NWSL,Yes
7/15/2017,6073,Orlando Pride,Orlando,NWSL,Yes
8/5/2017,5667,Orlando Pride,Orlando,NWSL,Yes
8/8/2017,4273,Orlando Pride,Orlando,NWSL,Yes
8/12/2017,5243,Orlando Pride,Orlando,NWSL,Yes
9/2/2017,5413,Orlando Pride,Orlando,NWSL,Yes
9/7/2017,4341,Orlando Pride,Orlando,NWSL,Yes
9/23/2017,7353,Orlando Pride,Orlando,NWSL,Yes
3/24/2018,9017,Orlando Pride,Orlando,NWSL,Yes
4/22/2018,3890,Orlando Pride,Orlando,NWSL,Yes
4/28/2018,5058,Orlando Pride,Orlando,NWSL,Yes
5/23/2018,3104,Orlando Pride,Orlando,NWSL,Yes
6/16/2018,4445,Orlando Pride,Orlando,NWSL,Yes
6/27/2018,3215,Orlando Pride,Orlando,NWSL,Yes
6/30/2018,4017,Orlando Pride,Orlando,NWSL,Yes
7/7/2018,4621,Orlando Pride,Orlando,NWSL,Yes
7/21/2018,5074,Orlando Pride,Orlando,NWSL,Yes
8/5/2018,4577,Orlando Pride,Orlando,NWSL,Yes
8/11/2018,6012,Orlando Pride,Orlando,NWSL,Yes
8/25/2018,5016,Orlando Pride,Orlando,NWSL,Yes
4/14/2019,7189,Orlando Pride,Orlando,NWSL,Yes
4/27/2019,4640,Orlando Pride,Orlando,NWSL,Yes
5/11/2019,4369,Orlando Pride,Orlando,NWSL,Yes
6/1/2019,4427,Orlando Pride,Orlando,NWSL,Yes
6/30/2019,3906,Orlando Pride,Orlando,NWSL,Yes
7/6/2019,3703,Orlando Pride,Orlando,NWSL,Yes
7/20/2019,9415,Orlando Pride,Orlando,NWSL,Yes
8/10/2019,5106,Orlando Pride,Orlando,NWSL,Yes
8/17/2019,5279,Orlando Pride,Orlando,NWSL,Yes
9/11/2019,4592,Orlando Pride,Orlando,NWSL,Yes
10/5/2019,6054,Orlando Pride,Orlando,NWSL,Yes
10/12/2019,8103,Orlando Pride,Orlando,NWSL,Yes
5/1/2022,4304,Orlando Pride,Orlando,NWSL,Yes
5/14/2022,3511,Orlando Pride,Orlando,NWSL,Yes
5/22/2022,3015,Orlando Pride,Orlando,NWSL,Yes
5/27/2022,3586,Orlando Pride,Orlando,NWSL,Yes
7/3/2022,7573,Orlando Pride,Orlando,NWSL,Yes
7/8/2022,3520,Orlando Pride,Orlando,NWSL,Yes
8/7/2022,4904,Orlando Pride,Orlando,NWSL,Yes
8/26/2022,4588,Orlando Pride,Orlando,NWSL,Yes
9/9/2022,3515,Orlando Pride,Orlando,NWSL,Yes
9/21/2022,3258,Orlando Pride,Orlando,NWSL,Yes
9/25/2022,6466,Orlando Pride,Orlando,NWSL,Yes
4/2/2023,7137,Orlando Pride,Orlando,NWSL,Yes
4/15/2023,5258,Orlando Pride,Orlando,NWSL,Yes
5/6/2023,5106,Orlando Pride,Orlando,NWSL,Yes
5/20/2023,4290,Orlando Pride,Orlando,NWSL,Yes
6/11/2023,7319,Orlando Pride,Orlando,NWSL,Yes
6/24/2023,6473,Orlando Pride,Orlando,NWSL,Yes
7/7/2023,6424,Orlando Pride,Orlando,NWSL,Yes
8/20/2023,5904,Orlando Pride,Orlando,NWSL,Yes
8/25/2023,3730,Orlando Pride,Orlando,NWSL,Yes
9/17/2023,5907,Orlando Pride,Orlando,NWSL,Yes
10/15/2023,8504,Orlando Pride,Orlando,NWSL,Yes
3/22/2024,6306,Orlando Pride,Orlando,NWSL,Yes
3/29/2024,5586,Orlando Pride,Orlando,NWSL,Yes
4/19/2024,7701,Orlando Pride,Orlando,NWSL,Yes
5/1/2024,4702,Orlando Pride,Orlando,NWSL,Yes
5/5/2024,6837,Orlando Pride,Orlando,NWSL,Yes
5/11/2024,7707,Orlando Pride,Orlando,NWSL,Yes
5/24/2024,9226,Orlando Pride,Orlando,NWSL,Yes
6/21/2024,9656,Orlando Pride,Orlando,NWSL,Yes
3/2/2013,"18,160",Philadelphia Union,Philadelphia,MLS,
3/16/2013,"15,689",Philadelphia Union,Philadelphia,MLS,
4/13/2013,"17,182",Philadelphia Union,Philadelphia,MLS,
5/4/2013,"18,344",Philadelphia Union,Philadelphia,MLS,
5/15/2013,"17,031",Philadelphia Union,Philadelphia,MLS,
5/18/2013,"18,575",Philadelphia Union,Philadelphia,MLS,
6/5/2013,"16,113",Philadelphia Union,Philadelphia,MLS,
6/23/2013,"19,013",Philadelphia Union,Philadelphia,MLS,
6/29/2013,"18,212",Philadelphia Union,Philadelphia,MLS,
7/12/2013,"15,172",Philadelphia Union,Philadelphia,MLS,
7/20/2013,"18,740",Philadelphia Union,Philadelphia,MLS,
8/3/2013,"18,295",Philadelphia Union,Philadelphia,MLS,
8/10/2013,"18,652",Philadelphia Union,Philadelphia,MLS,
8/31/2013,"18,339",Philadelphia Union,Philadelphia,MLS,
9/14/2013,"18,771",Philadelphia Union,Philadelphia,MLS,
10/5/2013,"18,996",Philadelphia Union,Philadelphia,MLS,
10/26/2013,"18,462",Philadelphia Union,Philadelphia,MLS,
3/15/2014,"18,651",Philadelphia Union,Philadelphia,MLS,
3/29/2014,"15,691",Philadelphia Union,Philadelphia,MLS,
4/12/2014,"18,015",Philadelphia Union,Philadelphia,MLS,
4/19/2014,"17,301",Philadelphia Union,Philadelphia,MLS,
5/10/2014,"18,522",Philadelphia Union,Philadelphia,MLS,
5/17/2014,"18,812",Philadelphia Union,Philadelphia,MLS,
6/7/2014,"18,843",Philadelphia Union,Philadelphia,MLS,
7/12/2014,"18,679",Philadelphia Union,Philadelphia,MLS,
7/16/2014,"18,541",Philadelphia Union,Philadelphia,MLS,
8/9/2014,"18,703",Philadelphia Union,Philadelphia,MLS,
8/24/2014,"17,421",Philadelphia Union,Philadelphia,MLS,
9/3/2014,"15,238",Philadelphia Union,Philadelphia,MLS,
9/13/2014,"18,091",Philadelphia Union,Philadelphia,MLS,
9/20/2014,"18,462",Philadelphia Union,Philadelphia,MLS,
10/2/2014,"14,838",Philadelphia Union,Philadelphia,MLS,
10/11/2014,"15,849",Philadelphia Union,Philadelphia,MLS,
10/18/2014,"18,073",Philadelphia Union,Philadelphia,MLS,
3/7/2015,"18,022",Philadelphia Union,Philadelphia,MLS,
3/21/2015,"16,031",Philadelphia Union,Philadelphia,MLS,
4/11/2015,"18,603",Philadelphia Union,Philadelphia,MLS,
4/19/2015,"18,106",Philadelphia Union,Philadelphia,MLS,
5/2/2015,"17,859",Philadelphia Union,Philadelphia,MLS,
5/17/2015,"16,853",Philadelphia Union,Philadelphia,MLS,
6/3/2015,"15,374",Philadelphia Union,Philadelphia,MLS,
6/6/2015,"18,517",Philadelphia Union,Philadelphia,MLS,
6/24/2015,"18,072",Philadelphia Union,Philadelphia,MLS,
6/27/2015,"17,531",Philadelphia Union,Philadelphia,MLS,
7/11/2015,"18,722",Philadelphia Union,Philadelphia,MLS,
8/1/2015,"18,883",Philadelphia Union,Philadelphia,MLS,
8/16/2015,"17,608",Philadelphia Union,Philadelphia,MLS,
8/29/2015,"17,117",Philadelphia Union,Philadelphia,MLS,
9/12/2015,"17,283",Philadelphia Union,Philadelphia,MLS,
9/20/2015,"14,784",Philadelphia Union,Philadelphia,MLS,
10/25/2015,"17,309",Philadelphia Union,Philadelphia,MLS,
3/20/2016,"17,027",Philadelphia Union,Philadelphia,MLS,
4/8/2016,"15,011",Philadelphia Union,Philadelphia,MLS,
4/23/2016,"18,681",Philadelphia Union,Philadelphia,MLS,
4/30/2016,"16,079",Philadelphia Union,Philadelphia,MLS,
5/11/2016,"17,983",Philadelphia Union,Philadelphia,MLS,
5/20/2016,"17,364",Philadelphia Union,Philadelphia,MLS,
6/1/2016,"15,543",Philadelphia Union,Philadelphia,MLS,
6/22/2016,"16,667",Philadelphia Union,Philadelphia,MLS,
6/25/2016,"17,225",Philadelphia Union,Philadelphia,MLS,
7/9/2016,"18,463",Philadelphia Union,Philadelphia,MLS,
7/17/2016,"18,500",Philadelphia Union,Philadelphia,MLS,
7/31/2016,"18,091",Philadelphia Union,Philadelphia,MLS,
8/20/2016,"18,271",Philadelphia Union,Philadelphia,MLS,
8/27/2016,"17,911",Philadelphia Union,Philadelphia,MLS,
9/10/2016,"18,500",Philadelphia Union,Philadelphia,MLS,
10/16/2016,"18,007",Philadelphia Union,Philadelphia,MLS,
10/23/2016,"18,500",Philadelphia Union,Philadelphia,MLS,
3/11/2017,"16,795",Philadelphia Union,Philadelphia,MLS,
4/8/2017,"15,437",Philadelphia Union,Philadelphia,MLS,
4/14/2017,"16,553",Philadelphia Union,Philadelphia,MLS,
4/22/2017,"15,107",Philadelphia Union,Philadelphia,MLS,
5/6/2017,"16,297",Philadelphia Union,Philadelphia,MLS,
5/17/2017,"15,234",Philadelphia Union,Philadelphia,MLS,
5/20/2017,"18,399",Philadelphia Union,Philadelphia,MLS,
6/18/2017,"17,720",Philadelphia Union,Philadelphia,MLS,
6/24/2017,"17,656",Philadelphia Union,Philadelphia,MLS,
7/2/2017,"16,143",Philadelphia Union,Philadelphia,MLS,
7/26/2017,"15,413",Philadelphia Union,Philadelphia,MLS,
8/5/2017,"17,880",Philadelphia Union,Philadelphia,MLS,
8/12/2017,"15,297",Philadelphia Union,Philadelphia,MLS,
8/26/2017,"17,221",Philadelphia Union,Philadelphia,MLS,
9/23/2017,"18,619",Philadelphia Union,Philadelphia,MLS,
10/1/2017,"17,431",Philadelphia Union,Philadelphia,MLS,
10/22/2017,"18,595",Philadelphia Union,Philadelphia,MLS,
3/3/2018,"16,452",Philadelphia Union,Philadelphia,MLS,
3/17/2018,"15,323",Philadelphia Union,Philadelphia,MLS,
4/7/2018,"14,795",Philadelphia Union,Philadelphia,MLS,
4/13/2018,"16,032",Philadelphia Union,Philadelphia,MLS,
4/28/2018,"16,493",Philadelphia Union,Philadelphia,MLS,
5/19/2018,"16,019",Philadelphia Union,Philadelphia,MLS,
5/30/2018,"14,805",Philadelphia Union,Philadelphia,MLS,
6/8/2018,"16,493",Philadelphia Union,Philadelphia,MLS,
6/23/2018,"15,250",Philadelphia Union,Philadelphia,MLS,
7/7/2018,"17,025",Philadelphia Union,Philadelphia,MLS,
7/21/2018,"19,013",Philadelphia Union,Philadelphia,MLS,
8/18/2018,"17,594",Philadelphia Union,Philadelphia,MLS,
8/25/2018,"18,052",Philadelphia Union,Philadelphia,MLS,
9/15/2018,"18,024",Philadelphia Union,Philadelphia,MLS,
9/23/2018,"15,080",Philadelphia Union,Philadelphia,MLS,
10/6/2018,"16,334",Philadelphia Union,Philadelphia,MLS,
10/21/2018,"18,021",Philadelphia Union,Philadelphia,MLS,
3/2/2019,"16,498",Philadelphia Union,Philadelphia,MLS,
3/23/2019,"15,135",Philadelphia Union,Philadelphia,MLS,
4/6/2019,"15,844",Philadelphia Union,Philadelphia,MLS,
4/20/2019,"15,407",Philadelphia Union,Philadelphia,MLS,
5/1/2019,"12,890",Philadelphia Union,Philadelphia,MLS,
5/4/2019,"15,565",Philadelphia Union,Philadelphia,MLS,
5/18/2019,"18,540",Philadelphia Union,Philadelphia,MLS,
5/25/2019,"18,474",Philadelphia Union,Philadelphia,MLS,
5/29/2019,"14,207",Philadelphia Union,Philadelphia,MLS,
6/8/2019,"18,767",Philadelphia Union,Philadelphia,MLS,
7/7/2019,"18,574",Philadelphia Union,Philadelphia,MLS,
7/20/2019,"17,471",Philadelphia Union,Philadelphia,MLS,
8/11/2019,"18,550",Philadelphia Union,Philadelphia,MLS,
8/24/2019,"18,781",Philadelphia Union,Philadelphia,MLS,
8/31/2019,"18,510",Philadelphia Union,Philadelphia,MLS,
9/14/2019,"19,145",Philadelphia Union,Philadelphia,MLS,
10/6/2019,"18,525",Philadelphia Union,Philadelphia,MLS,
4/21/2013,16479,Portland Thorns FC,Portland,NWSL,Yes
5/16/2013,11055,Portland Thorns FC,Portland,NWSL,Yes
5/19/2013,12474,Portland Thorns FC,Portland,NWSL,Yes
6/1/2013,12446,Portland Thorns FC,Portland,NWSL,Yes
6/6/2013,10886,Portland Thorns FC,Portland,NWSL,Yes
6/16/2013,13802,Portland Thorns FC,Portland,NWSL,Yes
7/6/2013,12436,Portland Thorns FC,Portland,NWSL,Yes
7/14/2013,13021,Portland Thorns FC,Portland,NWSL,Yes
7/28/2013,12534,Portland Thorns FC,Portland,NWSL,Yes
7/31/2013,13769,Portland Thorns FC,Portland,NWSL,Yes
8/4/2013,17619,Portland Thorns FC,Portland,NWSL,Yes
4/26/2014,14124,Portland Thorns FC,Portland,NWSL,Yes
5/10/2014,14182,Portland Thorns FC,Portland,NWSL,Yes
5/21/2014,10920,Portland Thorns FC,Portland,NWSL,Yes
5/24/2014,13427,Portland Thorns FC,Portland,NWSL,Yes
6/7/2014,13838,Portland Thorns FC,Portland,NWSL,Yes
6/15/2014,10056,Portland Thorns FC,Portland,NWSL,Yes
6/25/2014,10477,Portland Thorns FC,Portland,NWSL,Yes
7/4/2014,13084,Portland Thorns FC,Portland,NWSL,Yes
7/13/2014,9672,Portland Thorns FC,Portland,NWSL,Yes
